"Datum","Duisburg-Ruhrort","Kaub","Koeln","Mannheim"
"2026-08-29 17:00:00",192,75,109,143
"2026-08-29 18:00:00",191.5,75.5,108,141
"2026-08-29 19:00:00",192,75.5,108.5,141.25
"2026-08-29 20:00:00",192.5,75.25,109.5,141.25
"2026-08-29 21:00:00",193,75,110.25,142.75
"2026-08-29 22:00:00",193.25,76,111,143.5
"2026-08-29 23:00:00",193.25,75.5,112,144
"2026-08-30 00:00:00",193,75,113,145
"2026-08-30 01:00:00",193,75,114,145
"2026-08-30 02:00:00",194,75,115,145
"2026-08-30 03:00:00",194,74,115,145.75
"2026-08-30 04:00:00",194.25,74,115.75,145.5
"2026-08-30 05:00:00",195,73.25,116.25,145.25
"2026-08-30 06:00:00",195,73,116.25,145
"2026-08-30 07:00:00",195.75,73,116,144
"2026-08-30 08:00:00",196.5,72.5,116.75,143.5
"2026-08-30 09:00:00",196.5,72.5,116.25,142.75
"2026-08-30 10:00:00",197.25,71.75,117.25,142.75
"2026-08-30 11:00:00",197.5,71.5,116.25,142
"2026-08-30 12:00:00",198,71,116.25,142
"2026-08-30 13:00:00",197.75,71,116.25,141.75
"2026-08-30 14:00:00",197.5,70.75,116.25,141
"2026-08-30 15:00:00",197.75,71.25,116.25,139.5
"2026-08-30 16:00:00",198.25,71.25,117,138.75
"2026-08-30 17:00:00",198.75,71.5,117.25,138.25
"2026-08-30 18:00:00",198.75,70.75,117.5,136.75
"2026-08-30 19:00:00",198.75,71,117,136
"2026-08-30 20:00:00",199.25,71,117.5,135.25
"2026-08-30 21:00:00",199.25,71.75,117.5,135
"2026-08-30 22:00:00",198.75,72.5,117.5,135
"2026-08-30 23:00:00",198,72.5,117.75,134
"2026-08-31 00:00:00",198,73,117.25,133.25
"2026-08-31 01:00:00",198,73,117.75,133
"2026-08-31 02:00:00",197.5,73.25,117.25,133
"2026-08-31 03:00:00",198,73.5,117,133.25
"2026-08-31 04:00:00",197.5,73,117,132
"2026-08-31 05:00:00",197.75,73,116.5,132
"2026-08-31 06:00:00",198,74,116,132.25
"2026-08-31 07:00:00",198.75,73,116,131.5
"2026-08-31 08:00:00",200,73.25,115,131
"2026-08-31 09:00:00",200.25,73,114.5,131
"2026-08-31 10:00:00",200,73.25,114,131.5
"2026-08-31 11:00:00",199.75,73.25,113.75,131.25
"2026-08-31 12:00:00",199.25,73,114,132.25
"2026-08-31 13:00:00",199.5,72.25,114,131.75
"2026-08-31 14:00:00",199.75,73,114.5,131.25
"2026-08-31 15:00:00",200.25,72.25,114,131.25
"2026-08-31 16:00:00",200.5,71.75,114.75,131.75
"2026-08-31 17:00:00",200.75,72.5,115.75,131.75
"2026-08-31 18:00:00",201.5,73.25,115.75,130.75
